0.2,0.4,0.6,0.8,0.99
0,0,149.812754,384.045,0
204.226073,0,0,4,1
0,36.31245184,275.7160331,0,1
0,0,76.21443031,0,683.9411025
0,0,0,1.438856099,10.21788395
0,107.8468578,0,0,0
0,0,0,3.4E-05,412.8923923
0,107.8468578,0,0.675565793,0
0,4,0,0,0
731.6608554,0,0,0,575.5147186
0,0,0,0,61.56270818
0,0,8,0,0
0,0,0,0,0
0,53.66771591,0,0,0
0,64,0,0,0
0,0,0,0,181.8054315
0,98.35816231,1220.32,0,0
415.0022222,0,0,228.3,0
0,61.84511903,430.725,0,848.6762448
0,0,0,0,0.005
0,4.42,48,328.008547,0
0,0,0,0,64
0,0,0,0,700.9574956
0,0,0.047017787,0,0
0,0,429.944732,755.1048308,0
0,0,0,0,31.70544301
0,0,0,0,0
0,0,0,0,17.82
0,0,0,0,74.92928332
0,0,0,0,189.7067794
0,0,0,0,9
322.849662,101.9870801,0,0,0
0,1.493495235,0,0,67.5309408
0,138.6145331,760.8,0,153.7317344
0,0,0,0,0
0,0,302.3314686,0.575530866,0
5.70498223,0,0,0,54.34894384
0,157.348108,0,0,0
0,0,277.1179312,0,2.7703895
0,294.3479197,0,0,0
383.5627778,107.6,0,0,75.55676342
0,98.35816231,0,0,98.35816231
0,98.35816231,98.35816231,0,4.6
693.48,0,0,0,0
0,0,0,2.432425454,98.35816231
0,0,0,6.55E-06,0.02
301.305,0,0,0,0
0,8.98,0,0,0
0,1282.7,14.43928845,0,677.2576159
0,0,379.8625,0,0
0,0,52.56,202.98,0
0,0,0,0,29.84273085
0,0,166.8095201,189.9822222,0
0,0,11.03520627,0,748.7
0,0,0,0,0
0,0,0,0,1.757354021
0,0,0,0,3.187119401
0,0,92.5766997,58.3596875,0
0,0,0,0,107.8468578
0,72.10079328,0,0,352.3098304
0,0,0,0,0
0,657.88,0,8,1
0,107.9873074,72.6018503,0,10.04842451
0,0,41.43258717,0,1185.76
0,0,697.92,0,0
0,9,352.6838688,251.3330719,296.430341
0,98.35816231,0,0,0
11.56156767,779.5839642,0,1,0
0,0,0,227.5573488,4.5
0,383.337,0,468.3358826,36
674.665,0,0,0,753.7412456
0,0,0,0,0
296.430341,0,0,7.881241658,281.1685144
106.5762043,0,0,0,0
0,415.3151368,0,176.6282308,384.045
1.29E-28,0,0,2.040816327,226.4266188
0,0,0,42.16656278,5.9875
0,0,0,9,301.935
0,0,0,0,4.54E-05
0,0,0,0,2.952492442
0,0,3.017049475,0,25
0,0,0,1.38,0
0,0,0,18.00259459,12.78701303
1.607695155,0,138.6145331,0,0
373.57875,0,0,0,242.74
0,33.58267979,0,0,64
0,0,2.367485961,0,0
0,0,1,0,0
0,0,0,1.3438917,0
0,26.97253533,0,1,0
0,0,0,107.8468578,384.045
0,0,0,688.933,514.38
0,0,0,0,116.26
0,3.56,0,0,1.265625
0,0,0,7.048627746,0
0,0,0,0,0
0,0,364.245,0,0
0,0,0,830.2120206,96.83924956
0,299.5540653,98.35816231,7,0
0,0,0,387.0888758,3.885